plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,0,7.5,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,2,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,3,WT,7.5,3,10/01/2021 10:17:00 AM,0.485,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,4,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,, ,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,5,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,6,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,7,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,8,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,9,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,10,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,11,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,12,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,13,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,14,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,15,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,16,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,17,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,18,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,19,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,20,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,21,WT,7.5,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,1,KO,0,3,10/01/2021 10:17:00 AM,1.073,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,2,KO,0,3,10/01/2021 10:17:00 AM,0.88,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,3,KO,0,3,10/01/2021 10:17:00 AM,0.553,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,4,KO,0,3,10/01/2021 10:17:00 AM,0.495,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,5,KO,0,3,10/01/2021 10:17:00 AM,0.884,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,6,KO,0,3,10/01/2021 10:17:00 AM,0.597,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,7,KO,0,3,10/01/2021 10:17:00 AM,0.539,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,8,KO,0,3,10/01/2021 10:17:00 AM,0.894,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,9,KO,0,3,10/01/2021 10:17:00 AM,1.078,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,10,KO,0,3,10/01/2021 10:17:00 AM,0.735,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,11,KO,0,3,10/01/2021 10:17:00 AM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,12,KO,0,3,10/01/2021 10:17:00 AM,0.776,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,13,KO,0,3,10/01/2021 10:17:00 AM,0.984,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,14,KO,0,3,10/01/2021 10:17:00 AM,0.422,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,15,KO,0,3,10/01/2021 10:17:00 AM,0.742,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,16,KO,0,3,10/01/2021 10:17:00 AM,0.601,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,17,KO,0,3,10/01/2021 10:17:00 AM,0.374,,,,,,,,,,,,,,,,,,,,,,,,,
