plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_date,day3_root,day4_date,day4_root,day5_date,day5_root,day6_date,day6_root,day7_date,day7_root
1_WT_controlb_j,1,J,5,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,6,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,7,WT,0,9/24/2021 10:56:00 AM,0.591,9/25/2021 11:31:00 AM,0.863,9/26/2021 10:26:00 AM,1.591,9/27/2021 11:42:00 AM,2.591,9/28/2021 10:41:00 AM,3.222
1_WT_controlb_j,1,J,8,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,9,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,10,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,11,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,12,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,0.82
1_WT_controlb_j,1,J,13,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,14,WT,0,9/24/2021 10:56:00 AM,G,9/25/2021 11:31:00 AM,0.785,9/26/2021 10:26:00 AM,1.049,9/27/2021 11:42:00 AM,1.413,9/28/2021 10:41:00 AM,2.126
1_WT_controlb_j,1,J,15,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,16,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,17,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,18,WT,0,9/24/2021 10:56:00 AM,G,9/25/2021 11:31:00 AM,1.011,9/26/2021 10:26:00 AM,2.268,9/27/2021 11:42:00 AM,3.044,9/28/2021 10:41:00 AM,4.222
1_WT_controlb_j,1,J,19,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,20,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,21,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,22,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,23,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controlb_j,1,J,24,WT,0,9/24/2021 10:56:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_137.5_j,1,J,1,WT,137.5,9/24/2021 10:57:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_137.5_j,1,J,2,WT,137.5,9/24/2021 10:57:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
