plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_date,day3_root,day4_date,day4_root,day5_date,day5_root,day6_date,day6_root,day7_date,day7_root
1_WT_137.5_j,1,J,16,WT,137.5,9/24/2021 10:57,0,9/25/2021 11:31,0,9/26/2021 10:26,0,9/27/2021 11:42,0,9/28/2021 10:41,0
1_WT_137.5_j,1,J,17,WT,137.5,9/24/2021 10:57,0,9/25/2021 11:31,0,9/26/2021 10:26,0,9/27/2021 11:42,0,9/28/2021 10:41,0
1_WT_137.5_j,1,J,18,WT,137.5,9/24/2021 10:57,0,9/25/2021 11:31,0,9/26/2021 10:26,0,9/27/2021 11:42,0,9/28/2021 10:41,0
1_WT_137.5_j,1,J,19,WT,137.5,9/24/2021 10:57,0,9/25/2021 11:31,0,9/26/2021 10:26,0,9/27/2021 11:42,0,9/28/2021 10:41,0
1_WT_137.5_j,1,J,20,WT,137.5,9/24/2021 10:57,0,9/25/2021 11:31,0,9/26/2021 10:26,0,9/27/2021 11:42,0,9/28/2021 10:41,0
1_KO_controla_j,1,J,1,KO,0,9/24/2021 10:58,0.496,9/25/2021 11:31,0.648,9/26/2021 10:26,1.099,9/27/2021 11:42,1.455,9/28/2021 10:41,2.525
1_KO_controla_j,1,J,2,KO,0,9/24/2021 10:58,0,9/25/2021 11:31,0.519,9/26/2021 10:26,1.181,9/27/2021 11:42,1.728,9/28/2021 10:41,2.644
1_KO_controla_j,1,J,3,KO,0,9/24/2021 10:58,0.684,9/25/2021 11:31,1.201,9/26/2021 10:26,2.397,9/27/2021 11:42,2.848,9/28/2021 10:41,3.278
1_KO_controla_j,1,J,4,KO,0,9/24/2021 10:58,0.583,9/25/2021 11:31,1.413,9/26/2021 10:26,1.934,9/27/2021 11:42,2.266,9/28/2021 10:41,3.17
1_KO_controla_j,1,J,5,KO,0,9/24/2021 10:58,0,9/25/2021 11:31,0,9/26/2021 10:26,0,9/27/2021 11:42,0,9/28/2021 10:41,0
1_KO_controla_j,1,J,6,KO,0,9/24/2021 10:58,0.731,9/25/2021 11:31,1.215,9/26/2021 10:26,2.089,9/27/2021 11:42,2.695,9/28/2021 10:41,3.405
1_KO_controla_j,1,J,7,KO,0,9/24/2021 10:58,0.504,9/25/2021 11:31,1.04,9/26/2021 10:26,2.174,9/27/2021 11:42,2.406,9/28/2021 10:41,2.879
1_KO_controla_j,1,J,8,KO,0,9/24/2021 10:58,0.573,9/25/2021 11:31,1.007,9/26/2021 10:26,2.06,9/27/2021 11:42,2.421,9/28/2021 10:41,3.06
1_KO_controla_j,1,J,9,KO,0,9/24/2021 10:58,0.6,9/25/2021 11:31,1.167,9/26/2021 10:26,1.4,9/27/2021 11:42,2.987,9/28/2021 10:41,3.156
1_KO_controla_j,1,J,10,KO,0,9/24/2021 10:58,0,9/25/2021 11:31,0.469,9/26/2021 10:26,0.793,9/27/2021 11:42,0.955,9/28/2021 10:41,1.11
1_KO_controla_j,1,J,11,KO,0,9/24/2021 10:58,0.642,9/25/2021 11:31,1.277,9/26/2021 10:26,1.446,9/27/2021 11:42,1.886,9/28/2021 10:41,2.801
1_KO_controla_j,1,J,12,KO,0,9/24/2021 10:58,0.605,9/25/2021 11:31,1.046,9/26/2021 10:26,1.6,9/27/2021 11:42,2.488,9/28/2021 10:41,2.894
1_KO_controla_j,1,J,13,KO,0,9/24/2021 10:58,0.748,9/25/2021 11:31,1.348,9/26/2021 10:26,1.823,9/27/2021 11:42,2.673,9/28/2021 10:41,3.36
1_KO_controla_j,1,J,14,KO,0,9/24/2021 10:58,0.435,9/25/2021 11:31,1.271,9/26/2021 10:26,1.719,9/27/2021 11:42,2.019,9/28/2021 10:41,2.66
1_KO_controla_j,1,J,15,KO,0,9/24/2021 10:58,0.671,9/25/2021 11:31,1.422,9/26/2021 10:26,2.095,9/27/2021 11:42,3.069,9/28/2021 10:41,4.089
1_KO_controla_j,1,J,16,KO,0,9/24/2021 10:58,0.583,9/25/2021 11:31,1.175,9/26/2021 10:26,1.866,9/27/2021 11:42,2.678,9/28/2021 10:41,3.395
1_KO_controla_j,1,J,17,KO,0,9/24/2021 10:58,0.539,9/25/2021 11:31,0.843,9/26/2021 10:26,1.794,9/27/2021 11:42,1.961,9/28/2021 10:41,2.821
1_KO_controla_j,1,J,18,KO,0,9/24/2021 10:58,0.679,9/25/2021 11:31,1.226,9/26/2021 10:26,1.51,9/27/2021 11:42,2.248,9/28/2021 10:41,2.822
1_KO_controla_j,1,J,19,KO,0,9/24/2021 10:58,0.424,9/25/2021 11:31,1.249,9/26/2021 10:26,1.682,9/27/2021 11:42,2.091,9/28/2021 10:41,2.803
1_KO_controla_j,1,J,20,KO,0,9/24/2021 10:58,0.582,9/25/2021 11:31,0.999,9/26/2021 10:26,1.477,9/27/2021 11:42,1.762,9/28/2021 10:41,2.453
1_KO_controlb_j,1,J,1,KO,0,9/24/2021 10:56,0.623,9/25/2021 11:31,1.023,9/26/2021 10:26,1.761,9/27/2021 11:42,2.53,9/28/2021 10:41,3.33
1_KO_controlb_j,1,J,2,KO,0,9/24/2021 10:56,0.353,9/25/2021 11:31,0.51,9/26/2021 10:26,0.612,9/27/2021 11:42,0.746,9/28/2021 10:41,1.348
1_KO_controlb_j,1,J,3,KO,0,9/24/2021 10:56,0.516,9/25/2021 11:31,0.723,9/26/2021 10:26,0.784,9/27/2021 11:42,1.099,9/28/2021 10:41,2.018
1_KO_controlb_j,1,J,4,KO,0,9/24/2021 10:56,0.713,9/25/2021 11:31,1.251,9/26/2021 10:26,2.216,9/27/2021 11:42,3.308,9/28/2021 10:41,4.182
1_KO_controlb_j,1,J,5,KO,0,9/24/2021 10:56,0.73,9/25/2021 11:31,1.136,9/26/2021 10:26,1.623,9/27/2021 11:42,2.348,9/28/2021 10:41,3.368
1_KO_controlb_j,1,J,6,KO,0,9/24/2021 10:56,0.468,9/25/2021 11:31,0.823,9/26/2021 10:26,1.645,9/27/2021 11:42,2.516,9/28/2021 10:41,3.516
1_KO_controlb_j,1,J,7,KO,0,9/24/2021 10:56,0.528,9/25/2021 11:31,0.943,9/26/2021 10:26,1.566,9/27/2021 11:42,1.648,9/28/2021 10:41,1.709
1_KO_controlb_j,1,J,8,KO,0,9/24/2021 10:56,0.694,9/25/2021 11:31,1.035,9/26/2021 10:26,1.574,9/27/2021 11:42,1.91,9/28/2021 10:41,3.175
1_KO_controlb_j,1,J,9,KO,0,9/24/2021 10:56,0.831,9/25/2021 11:31,1.17,9/26/2021 10:26,1.336,9/27/2021 11:42,1.566,9/28/2021 10:41,2.318
1_KO_controlb_j,1,J,10,KO,0,9/24/2021 10:56,0.725,9/25/2021 11:31,1.139,9/26/2021 10:26,1.68,9/27/2021 11:42,2.457,9/28/2021 10:41,3.384
1_KO_controlb_j,1,J,11,KO,0,9/24/2021 10:56,0.692,9/25/2021 11:31,1.048,9/26/2021 10:26,1.917,9/27/2021 11:42,3.012,9/28/2021 10:41,4.334
1_KO_controlb_j,1,J,12,KO,0,9/24/2021 10:56,0.511,9/25/2021 11:31,0.497,9/26/2021 10:26,1.865,9/27/2021 11:42,3.035,9/28/2021 10:41,3.991
