plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_time,day3_root,day4_time,day4_root,day5_time,day5_root,day6_time,day6_root,day7_time,day7_root,,,,
1_WT_7.5_j,2,J,13,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,14,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,15,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,16,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,17,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,18,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,19,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,20,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_WT_7.5_j,2,J,21,WT,7.5,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:07,NG,,NG,,,,
1_KO_controla_j,2,J,1,KO,0,,1.073,,1.914,10/3/2021 10:15,1.944,10/4/2021 10:07,2.555,,2.865,,,,
1_KO_controla_j,2,J,2,KO,0,,0.88,,1.794,,1.814,,2.22,,2.463,,,,
1_KO_controla_j,2,J,3,KO,0,,0.553,,1.025,,1.815,,3.115,,4.175,,,,
1_KO_controla_j,2,J,4,KO,0,,0.495,,1.038,,1.811,,1.965,,2.643,,,,
1_KO_controla_j,2,J,5,KO,0,,0.884,,2.473,,4.203,,5.96,,7.204,,,,
1_KO_controla_j,2,J,6,KO,0,,0.597,,1.019,,0.902,,1.086,,1.98,,,,
1_KO_controla_j,2,J,7,KO,0,,0.539,,1.071,,2.475,,3.318,,4.087,,,,
1_KO_controla_j,2,J,8,KO,0,,0.894,,2.601,,4.46,,6.005,,7.124,,,,
1_KO_controla_j,2,J,9,KO,0,,1.078,,1.784,,2.908,,3.486,,4.24,,,,
1_KO_controla_j,2,J,10,KO,0,,0.735,,0.985,,0.889,,1.03,,2.208,,,,
1_KO_controla_j,2,J,11,KO,0,,0.5,,1.058,,1.224,,1.849,,2.217,,,,
1_KO_controla_j,2,J,12,KO,0,,0.776,,2.071,,2.899,,3.908,,4.645,,,,
1_KO_controla_j,2,J,13,KO,0,,0.984,,2.214,,2.935,,3.547,,4.09,,,,
1_KO_controla_j,2,J,14,KO,0,,0.422,,0.558,,1.289,,1.408,,1.811,,,,
1_KO_controla_j,2,J,15,KO,0,,0.742,,1.518,,2.441,,3.565,,4.662,,,,
