plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,growth.rate
7_WT_controla_j,7,M,1,WT,0,3,1/20/2022 10:54,0,
7_WT_controla_m,7,M,2,WT,0,3,1/20/2022 10:54,1.033,
7_WT_controla_m,7,M,3,WT,0,3,1/20/2022 10:54,0.794,
7_WT_controla_m,7,M,4,WT,0,3,1/20/2022 10:54,1.774,
7_WT_controla_m,7,M,5,WT,0,3,1/20/2022 10:54,0.943,
7_WT_controla_m,7,M,6,WT,0,3,1/20/2022 10:54,1.089,
7_WT_controla_m,7,M,7,WT,0,3,1/20/2022 10:54,0.49,
7_WT_controla_m,7,M,8,WT,0,3,1/20/2022 10:54,0.345,
7_WT_controla_m,7,M,9,WT,0,3,1/20/2022 10:54,1.726,
7_WT_controla_m,7,M,10,WT,0,3,1/20/2022 10:54,0.372,
7_WT_controla_m,7,M,11,WT,0,3,1/20/2022 10:54,1.6,
7_WT_controla_m,7,M,12,WT,0,3,1/20/2022 10:54,0,
7_WT_controla_m,7,M,13,WT,0,3,1/20/2022 10:54,1.161,
7_WT_controla_m,7,M,14,WT,0,3,1/20/2022 10:54,0.829,
7_WT_controla_m,7,M,15,WT,0,3,1/20/2022 10:54,1.222,
7_WT_controla_m,7,M,16,WT,0,3,1/20/2022 10:54,1.001,
7_WT_controla_m,7,M,17,WT,0,3,1/20/2022 10:54,1.532,
7_WT_controla_m,7,M,18,WT,0,3,1/20/2022 10:54,1.33,
7_WT_controla_m,7,M,19,WT,0,3,1/20/2022 10:54,0.992,
7_WT_controla_m,7,M,20,WT,0,3,1/20/2022 10:54,1.157,
7_WT_controla_m,7,M,21,WT,0,3,1/20/2022 10:54,1.413,
7_WT_5_m,7,M,1,WT,5,3,1/20/2022 10:54,0.752,
7_WT_5_m,7,M,2,WT,5,3,1/20/2022 10:54,0.684,
7_WT_5_m,7,M,3,WT,5,3,1/20/2022 10:54,1.294,
7_WT_5_m,7,M,4,WT,5,3,1/20/2022 10:54,0.849,
7_WT_5_m,7,M,5,WT,5,3,1/20/2022 10:54,0.884,
7_WT_5_m,7,M,6,WT,5,3,1/20/2022 10:54,0.953,
7_WT_5_m,7,M,7,WT,5,3,1/20/2022 10:54,0,
7_WT_5_m,7,M,8,WT,5,3,1/20/2022 10:54,1.105,
7_WT_5_m,7,M,9,WT,5,3,1/20/2022 10:54,1.613,
7_WT_5_m,7,M,10,WT,5,3,1/20/2022 10:54,0,
7_WT_5_m,7,M,11,WT,5,3,1/20/2022 10:54,0.727,
7_WT_5_m,7,M,12,WT,5,3,1/20/2022 10:54,,
7_WT_5_m,7,M,13,WT,5,3,1/20/2022 10:54,0.721,
7_WT_5_m,7,M,14,WT,5,3,1/20/2022 10:54,1.18,
7_WT_5_m,7,M,15,WT,5,3,1/20/2022 10:54,1.153,
7_WT_5_m,7,M,16,WT,5,3,1/20/2022 10:54,0.973,
7_WT_5_m,7,M,17,WT,5,3,1/20/2022 10:54,0.785,
7_WT_5_m,7,M,18,WT,5,3,1/20/2022 10:54,1.278,
7_WT_5_m,7,M,19,WT,5,3,1/20/2022 10:54,1.511,
7_WT_5_m,7,M,20,WT,5,3,1/20/2022 10:54,1.287,
7_WT_7.5_m,7,M,1,WT,7.5,3,1/20/2022 10:54,0.93,
7_WT_7.5_m,7,M,2,WT,7.5,3,1/20/2022 10:54,0.626,
7_WT_7.5_m,7,M,3,WT,7.5,3,1/20/2022 10:54,0.578,
7_WT_7.5_m,7,M,4,WT,7.5,3,1/20/2022 10:54,1.163,
7_WT_7.5_m,7,M,5,WT,7.5,3,1/20/2022 10:54,1.453,
7_WT_7.5_m,7,M,6,WT,7.5,3,1/20/2022 10:54,0.954,
7_WT_7.5_m,7,M,7,WT,7.5,3,1/20/2022 10:54,0.801,
7_WT_7.5_m,7,M,8,WT,7.5,3,1/20/2022 10:54,1.276,
7_WT_7.5_m,7,M,9,WT,7.5,3,1/20/2022 10:54,0.928,
7_WT_7.5_m,7,M,10,WT,7.5,3,1/20/2022 10:54,0.357,
7_WT_7.5_m,7,M,11,WT,7.5,3,1/20/2022 10:54,1.06,
7_WT_7.5_m,7,M,12,WT,7.5,3,1/20/2022 10:54,0.919,
7_WT_7.5_m,7,M,13,WT,7.5,3,1/20/2022 10:54,1.086,
7_WT_7.5_m,7,M,14,WT,7.5,3,1/20/2022 10:54,1.074,
7_WT_7.5_m,7,M,15,WT,7.5,3,1/20/2022 10:54,1.755,
7_WT_7.5_m,7,M,16,WT,7.5,3,1/20/2022 10:54,0.828,
7_WT_7.5_m,7,M,17,WT,7.5,3,1/20/2022 10:54,1.218,
7_WT_7.5_m,7,M,18,WT,7.5,3,1/20/2022 10:54,0.866,
7_WT_7.5_m,7,M,19,WT,7.5,3,1/20/2022 10:54,1.123,
7_WT_7.5_m,7,M,20,WT,7.5,3,1/20/2022 10:54,0.971,
7_WT_7.5_m,7,M,21,WT,7.5,3,1/20/2022 10:54,0.867,
7_WT_10_m,7,M,1,WT,10,3,1/20/2022 10:54,0.754,
7_WT_10_m,7,M,2,WT,10,3,1/20/2022 10:54,0.924,
7_WT_10_m,7,M,3,WT,10,3,1/20/2022 10:54,0.794,
7_WT_10_m,7,M,4,WT,10,3,1/20/2022 10:54,0.303,
7_WT_10_m,7,M,5,WT,10,3,1/20/2022 10:54,0.795,
7_WT_10_m,7,M,6,WT,10,3,1/20/2022 10:54,1.067,
7_WT_10_m,7,M,7,WT,10,3,1/20/2022 10:54,0.843,
7_WT_10_m,7,M,8,WT,10,3,1/20/2022 10:54,1.002,
7_WT_10_m,7,M,9,WT,10,3,1/20/2022 10:54,1.173,
7_WT_10_m,7,M,10,WT,10,3,1/20/2022 10:54,1.081,
7_WT_10_m,7,M,11,WT,10,3,1/20/2022 10:54,1.182,
