plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,,,,,
1_WT_controlb_m,1,m,10,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,11,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,12,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,13,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,14,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,15,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,16,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,17,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,18,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,19,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_controlb_m,1,m,20,WT,0,3,9/24/2021 10:24:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,1,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,2,WT,7.5,3,9/24/2021 10:53:00,0.578,,,,,,,,,,
1_WT_7.5_m,1,m,3,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,4,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,5,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,6,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,7,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,8,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,9,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
1_WT_7.5_m,1,m,10,WT,7.5,3,9/24/2021 10:53:00,0,,,,,,,,,,
