plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,growth.rate
7_WT_controla_j,8,M,1,WT,0,3,1/24/2022 10:48:00 AM,0.595,
7_WT_controla_m,8,M,2,WT,0,3,1/24/2022 10:48:00 AM,0.396,
7_WT_controla_m,8,M,3,WT,0,3,1/24/2022 10:48:00 AM,0.705,
7_WT_controla_m,8,M,4,WT,0,3,1/24/2022 10:48:00 AM,0.769,
7_WT_controla_m,8,M,5,WT,0,3,1/24/2022 10:48:00 AM,0.591,
7_WT_controla_m,8,M,6,WT,0,3,1/24/2022 10:48:00 AM,0.786,
7_WT_controla_m,8,M,7,WT,0,3,1/24/2022 10:48:00 AM,0.721,
7_WT_controla_m,8,M,8,WT,0,3,1/24/2022 10:48:00 AM,0.448,
7_WT_controla_m,8,M,9,WT,0,3,1/24/2022 10:48:00 AM,0.761,
7_WT_controla_m,8,M,10,WT,0,3,1/24/2022 10:48:00 AM,0.621,
7_WT_controla_m,8,M,11,WT,0,3,1/24/2022 10:48:00 AM,0.77,
7_WT_controla_m,8,M,12,WT,0,3,1/24/2022 10:48:00 AM,0.478,
7_WT_controla_m,8,M,13,WT,0,3,1/24/2022 10:48:00 AM,0.855,
7_WT_controla_m,8,M,14,WT,0,3,1/24/2022 10:48:00 AM,0.811,
7_WT_controla_m,8,M,15,WT,0,3,1/24/2022 10:48:00 AM,0.447,
7_WT_controla_m,8,M,16,WT,0,3,1/24/2022 10:48:00 AM,0.726,
7_WT_controla_m,8,M,17,WT,0,3,1/24/2022 10:48:00 AM,0.529,
7_WT_controla_m,8,M,18,WT,0,3,1/24/2022 10:48:00 AM,0.774,
7_WT_controla_m,8,M,19,WT,0,3,1/24/2022 10:48:00 AM,1.545,
7_WT_controla_m,8,M,20,WT,0,3,1/24/2022 10:48:00 AM,0.82,
7_WT_controla_m,8,M,21,WT,0,3,1/24/2022 10:48:00 AM,0.13,
7_WT_50_m,8,M,1,WT,50,3,1/24/2022 10:48:00 AM,0.32,
7_WT_50_m,8,M,2,WT,50,3,1/24/2022 10:48:00 AM,0.746,
7_WT_50_m,8,M,3,WT,50,3,1/24/2022 10:48:00 AM,0.778,
7_WT_50_m,8,M,4,WT,50,3,1/24/2022 10:48:00 AM,0.545,
7_WT_50_m,8,M,5,WT,50,3,1/24/2022 10:48:00 AM,0.791,
7_WT_50_m,8,M,6,WT,50,3,1/24/2022 10:48:00 AM,0,
7_WT_50_m,8,M,7,WT,50,3,1/24/2022 10:48:00 AM,0.537,
7_WT_50_m,8,M,8,WT,50,3,1/24/2022 10:48:00 AM,0.86,
7_WT_50_m,8,M,9,WT,50,3,1/24/2022 10:48:00 AM,0.509,
7_WT_50_m,8,M,10,WT,50,3,1/24/2022 10:48:00 AM,0.722,
7_WT_50_m,8,M,11,WT,50,3,1/24/2022 10:48:00 AM,0.561,
7_WT_50_m,8,M,12,WT,50,3,1/24/2022 10:48:00 AM,0.764,
7_WT_50_m,8,M,13,WT,50,3,1/24/2022 10:48:00 AM,0.314,
7_WT_50_m,8,M,14,WT,50,3,1/24/2022 10:48:00 AM,0.787,
7_WT_50_m,8,M,15,WT,50,3,1/24/2022 10:48:00 AM,0.336,
7_WT_100_m,8,M,1,WT,100,3,1/24/2022 10:48:00 AM,1.014,
7_WT_100_m,8,M,2,WT,100,3,1/24/2022 10:48:00 AM,0.731,
7_WT_100_m,8,M,3,WT,100,3,1/24/2022 10:48:00 AM,0.345,
7_WT_100_m,8,M,4,WT,100,3,1/24/2022 10:48:00 AM,0.475,
7_WT_100_m,8,M,5,WT,100,3,1/24/2022 10:48:00 AM,0.402,
7_WT_100_m,8,M,6,WT,100,3,1/24/2022 10:48:00 AM,0.732,
7_WT_100_m,8,M,7,WT,100,3,1/24/2022 10:48:00 AM,0.547,
7_WT_100_m,8,M,8,WT,100,3,1/24/2022 10:48:00 AM,0.718,
7_WT_100_m,8,M,9,WT,100,3,1/24/2022 10:48:00 AM,0.609,
7_WT_100_m,8,M,10,WT,100,3,1/24/2022 10:48:00 AM,0.726,
7_WT_100_m,8,M,11,WT,100,3,1/24/2022 10:48:00 AM,0.61,
7_WT_100_m,8,M,12,WT,100,3,1/24/2022 10:48:00 AM,0.828,
7_WT_100_m,8,M,13,WT,100,3,1/24/2022 10:48:00 AM,0.67,
7_WT_100_m,8,M,14,WT,100,3,1/24/2022 10:48:00 AM,0.991,
7_WT_100_m,8,M,15,WT,100,3,1/24/2022 10:48:00 AM,0.414,
7_WT_100_m,8,M,16,WT,100,3,1/24/2022 10:48:00 AM,0.67,
7_WT_100_m,8,M,17,WT,100,3,1/24/2022 10:48:00 AM,0.894,
7_WT_137.5_m,8,M,1,WT,137.5,3,1/24/2022 10:48:00 AM,0.409,
7_WT_137.5_m,8,M,2,WT,137.5,3,1/24/2022 10:48:00 AM,0.916,
7_WT_137.5_m,8,M,3,WT,137.5,3,1/24/2022 10:48:00 AM,0.63,
7_WT_137.5_m,8,M,4,WT,137.5,3,1/24/2022 10:48:00 AM,0.705,
7_WT_137.5_m,8,M,5,WT,137.5,3,1/24/2022 10:48:00 AM,0.999,
7_WT_137.5_m,8,M,6,WT,137.5,3,1/24/2022 10:48:00 AM,0.493,
7_WT_137.5_m,8,M,7,WT,137.5,3,1/24/2022 10:48:00 AM,0.818,
7_WT_137.5_m,8,M,8,WT,137.5,3,1/24/2022 10:48:00 AM,0.813,
7_WT_137.5_m,8,M,9,WT,137.5,3,1/24/2022 10:48:00 AM,0.77,
7_WT_137.5_m,8,M,10,WT,137.5,3,1/24/2022 10:48:00 AM,0.146,
7_WT_137.5_m,8,M,11,WT,137.5,3,1/24/2022 10:48:00 AM,0.383,
7_WT_137.5_m,8,M,12,WT,137.5,3,1/24/2022 10:48:00 AM,0.891,
7_WT_137.5_m,8,M,13,WT,137.5,3,1/24/2022 10:48:00 AM,0.772,
7_WT_137.5_m,8,M,14,WT,137.5,3,1/24/2022 10:48:00 AM,0.52,
7_WT_137.5_m,8,M,15,WT,137.5,3,1/24/2022 10:48:00 AM,0.71,
7_WT_137.5_m,8,M,16,WT,137.5,3,1/24/2022 10:48:00 AM,0.656,
7_WT_137.5_m,8,M,17,WT,137.5,3,1/24/2022 10:48:00 AM,0.828,
7_WT_200_m,8,M,1,WT,200,3,1/24/2022 10:48:00 AM,0.731,
7_WT_200_m,8,M,2,WT,200,3,1/24/2022 10:48:00 AM,0.759,
7_WT_200_m,8,M,3,WT,200,3,1/24/2022 10:48:00 AM,0.574,
7_WT_200_m,8,M,4,WT,200,3,1/24/2022 10:48:00 AM,0.65,
7_WT_200_m,8,M,5,WT,200,3,1/24/2022 10:48:00 AM,0.69,
7_WT_200_m,8,M,6,WT,200,3,1/24/2022 10:48:00 AM,0.788,
7_WT_200_m,8,M,7,WT,200,3,1/24/2022 10:48:00 AM,0.426,
7_WT_200_m,8,M,8,WT,200,3,1/24/2022 10:48:00 AM,0.741,
7_WT_200_m,8,M,9,WT,200,3,1/24/2022 10:48:00 AM,0.591,
7_WT_200_m,8,M,10,WT,200,3,1/24/2022 10:48:00 AM,0.374,
7_WT_200_m,8,M,11,WT,200,3,1/24/2022 10:48:00 AM,0.494,
7_WT_200_m,8,M,12,WT,200,3,1/24/2022 10:48:00 AM,0.809,
7_WT_200_m,8,M,14,WT,200,3,1/24/2022 10:48:00 AM,0.781,
7_WT_200_m,8,M,15,WT,200,3,1/24/2022 10:48:00 AM,0.77,
7_WT_200_m,8,M,16,WT,200,3,1/24/2022 10:48:00 AM,0.837,
7_WT_200_m,8,M,17,WT,200,3,1/24/2022 10:48:00 AM,0.942,
7_WT_200_m,8,M,18,WT,200,3,1/24/2022 10:48:00 AM,0.65,
7_WT_controla_m,8,M,1,WT,0,4,1/25/2022 10:56:00 AM,1.152,0.5539226519
7_WT_controla_m,8,M,2,WT,0,4,1/25/2022 10:56:00 AM,0.553,0.1561325967
7_WT_controla_m,8,M,3,WT,0,4,1/25/2022 10:56:00 AM,1.413,0.7040883978
7_WT_controla_m,8,M,4,WT,0,4,1/25/2022 10:56:00 AM,1.265,0.4932596685
7_WT_controla_m,8,M,5,WT,0,4,1/25/2022 10:56:00 AM,1.333,0.7379005525
7_WT_controla_m,8,M,6,WT,0,4,1/25/2022 10:56:00 AM,1.284,0.4952486188
7_WT_controla_m,8,M,7,WT,0,4,1/25/2022 10:56:00 AM,0.721,0
7_WT_controla_m,8,M,8,WT,0,4,1/25/2022 10:56:00 AM,1.042,0.590718232
7_WT_controla_m,8,M,9,WT,0,4,1/25/2022 10:56:00 AM,1.765,0.9984530387
7_WT_controla_m,8,M,10,WT,0,4,1/25/2022 10:56:00 AM,1.212,0.5877348066
7_WT_controla_m,8,M,11,WT,0,4,1/25/2022 10:56:00 AM,1.29,0.5171270718
7_WT_controla_m,8,M,12,WT,0,4,1/25/2022 10:56:00 AM,0.546,0.06762430939
7_WT_controla_m,8,M,13,WT,0,4,1/25/2022 10:56:00 AM,0.866,0.01093922652
